Titulo,Adress,City,ZIP/Postal Code,State/Province,Phone
FORTEFARMA AMPERE,Avenida AV. QUINZE DE NOVEMB 1136 CENTRO,AMPERE,85640000,PR  ,"46,35472938,"
INOVA,Avenida DOUTOR CARLOS SOARES 218 CENTRO,VISCONDE DO RIO BRANCO,36520000,MG  ,"33,32713016,"
DROGARI,Avenida F 1421 AGUA BRANCA,GOIANIA,74723100,GO  ,"62,30924605,"
DROGARIA BOA VISTA ,Avenida QD DE CAXIAS  993 SETOR BOA VISTA,CORUMBAIBA,75680000,GO  ,"64,34554209,1"
FARMA VALE,Avenida SETE DE SETEMBRO 284 CENTRO,CACHOEIRA PAULISTA,12630000,SP  ,"12,31014284,"
FARMA VALE,Rua RUA CORONEL DOMICIANO 182 CENTRO,CACHOEIRA PAULISTA,12630000,SP  ,"12,31014284,"
FARMA VALE,Rua RUA BERNADINO DE CAMPOS 536 CENTRO,CACHOEIRA PAULISTA,12630000,SP  ,"12,31012277,1"
FARMA VALE,Rua EDITH RANGEL FERREIRA 5 CDHU,CACHOEIRA PAULISTA,12630000,SP  ,"12,31014455,1"
DROGARIA DROGALAR,Rua INACIO MAXIMO DINIZ JUNQUEIRA 445 CENTRO,JABORANDI,14775000,SP  ,"17,33471140,"
DROGAMAXI,Avenida BELO HORIZONTE 781 JARDIM TERESOPOLIS,BETIM,32681360,MG  ,"31,35948578,"
DROGARIA FARMAVIDA,Avenida CORONEL ESCOLASTICO 466 BANDEIRANTES,CUIABA,78010200,MT  ,"65,30525582,"
DROGARIA ROSA M?STICA,Rua ITACOLOMI 3240 VILA MARIM,VOTUPORANGA,15500467,SP  ,"17,34235802,"
DROGARIA POPULAR,Avenida PARQUE ATHENEU 0 PARQUE ATHENEU,GOIANIA,74893020,GO  ,"62,32815818,0"
FAMACIA VIVAMAIS,11¼ Rua RUA DR. LINCOLN GRA? 314 CENTRO,JOAQUIM TAVORA,86455000,PR  ,"43,35592277,"
DROGARIAS ALEXANDRE,Rua PRA?A SANTO ANTONIO 236 CENTRO,SAQUAREMA,28990000,RJ  ,"21,27344308,22"
DROGARIAS ALEXANDRE,Rua FELICIANO SODRE 64 CENTRO,SAO PEDRO DA ALDEIA,28940000,RJ  ,"21,27344308,22"
DROGARIAS ALEXANDRE,Rodovia RODOVIA AMARAL PEIXOTO 4735 CENTRO,RIO DAS OSTRAS,28893076,RJ  ,"21,27344308,1"
DROGARIAS ALEXANDRE,Rua RUA DA CONCEICAO 26 CENTRO,RIO BONITO,28800000,RJ  ,"21,27344308,"
